0	C	via1		89	50	512000	via
0	C	luna1		87	67	512000	luna
0	C	maya1		31	42	512000	maya
0	C	ana1		8	26	512000	ana
0	C	nella1		51	49	512000	nella
0	C	nella2		51	56	512000	nella
0	C	ana2		8	1	512000	ana
0	C	via2		89	24	512000	via
55204	C	ana3		8	60	512000	ana
55204	C	maya2		31	86	512000	maya
55204	C	luna2		87	52	512000	luna
55204	C	via3		89	4	512000	via
55204	C	nella3		51	46	512000	nella
55204	C	via4		89	5	512000	via
120880	C	ana4		8	81	512000	ana
120880	C	via5		89	74	512000	via
120880	C	maya3		31	41	512000	maya
120880	C	nella4		51	64	512000	nella
120880	C	luna3		87	95	512000	luna
120880	C	ana5		8	63	512000	ana
176136	C	maya4		31	52	512000	maya
176136	C	luna4		87	74	512000	luna
176136	C	ana6		8	54	512000	ana
176136	C	nella5		51	81	512000	nella
176136	C	via6		89	24	512000	via
176136	C	via7		89	90	512000	via
242565	C	luna5		87	76	512000	luna
242565	C	ana7		8	35	512000	ana
242565	C	nella6		51	62	512000	nella
242565	C	maya5		31	54	512000	maya
242565	C	via8		89	36	512000	via
242565	C	nella7		51	56	512000	nella
242565	C	maya6		31	9	512000	maya
306852	C	luna6		87	71	512000	luna
306852	C	ana8		8	92	512000	ana
306852	C	via9		89	5	512000	via
306852	C	maya7		31	73	512000	maya
306852	C	nella8		51	34	512000	nella
306852	C	nella9		51	75	512000	nella
360680	C	luna7		87	67	512000	luna
360680	C	via10		89	27	512000	via
360680	C	ana9		8	84	512000	ana
360680	C	maya8		31	76	512000	maya
360680	C	nella10		51	40	512000	nella
360680	C	maya9		31	36	512000	maya
360680	C	luna8		87	35	512000	luna
439404	C	via11		89	72	512000	via
439404	C	nella11		51	79	512000	nella
439404	C	maya10		31	30	512000	maya
439404	C	ana10		8	84	512000	ana
439404	C	luna9		87	70	512000	luna
439404	C	nella12		51	83	512000	nella
439404	C	luna10		87	13	512000	luna
516575	C	via12		89	13	512000	via
516575	C	luna11		87	62	512000	luna
516575	C	maya11		31	57	512000	maya
516575	C	nella13		51	14	512000	nella
516575	C	ana11		8	44	512000	ana
580834	C	nella14		51	90	512000	nella
580834	C	ana12		8	62	512000	ana
580834	C	via13		89	25	512000	via
580834	C	maya12		31	10	512000	maya
580834	C	luna12		87	84	512000	luna
580834	C	via14		89	67	512000	via
580834	C	luna13		87	94	512000	luna
631876	C	nella15		51	36	512000	nella
631876	C	ana13		8	43	512000	ana
631876	C	luna14		87	62	512000	luna
631876	C	maya13		31	1	512000	maya
631876	C	via15		89	34	512000	via
631876	C	via16		89	6	512000	via
631876	C	nella16		51	22	512000	nella
696541	C	via17		51	81	512000	via
696541	C	luna15		8	55	512000	luna
696541	C	nella17		31	50	512000	nella
696541	C	ana14		89	86	512000	ana
696541	C	maya14		87	30	512000	maya
696541	C	via18		51	23	512000	via
776125	C	ana15		89	85	512000	ana
776125	C	via19		51	18	512000	via
776125	C	luna16		8	43	512000	luna
776125	C	nella18		31	75	512000	nella
776125	C	maya15		87	22	512000	maya
776125	C	maya16		87	46	512000	maya
776125	C	via20		51	0	512000	via
836434	C	maya17		87	49	512000	maya
836434	C	luna17		8	21	512000	luna
836434	C	ana16		89	41	512000	ana
836434	C	nella19		31	77	512000	nella
836434	C	via21		51	12	512000	via
836434	C	maya18		87	40	512000	maya
836434	C	nella20		31	64	512000	nella
905915	C	luna18		8	4	512000	luna
905915	C	nella21		31	79	512000	nella
905915	C	maya19		87	77	512000	maya
905915	C	ana17		89	93	512000	ana
905915	C	via22		51	48	512000	via
968738	C	luna19		8	92	512000	luna
968738	C	nella22		31	24	512000	nella
968738	C	ana18		89	40	512000	ana
968738	C	via23		51	65	512000	via
968738	C	maya20		87	75	512000	maya
968738	C	nella23		31	46	512000	nella
1045541	C	ana19		89	32	512000	ana
1045541	C	luna20		8	74	512000	luna
1045541	C	via24		51	54	512000	via
1045541	C	nella24		31	30	512000	nella
1045541	C	maya21		87	92	512000	maya
1045541	C	luna21		8	57	512000	luna
1096839	C	nella25		31	32	512000	nella
1096839	C	ana20		89	17	512000	ana
1096839	C	maya22		87	7	512000	maya
1096839	C	via25		51	85	512000	via
1096839	C	luna22		8	22	512000	luna
1096839	C	via26		51	90	512000	via
1096839	C	nella26		31	93	512000	nella
